,llave,cant_indiv,coef,ciudad_origen,tipo,edad_mediana,rango_edad,estrato,ingreso_hogar,rango_ingreso_hog,estado_civ,nivel_edu,viajo,interno,cuantos_int,depto_dest,mpio_dest,fecha_ini,fecha_fin,pernoct,motivo_int,alojamiento,med_transp,gasto_tot,motivo_no,gast_aloj,valgast_aloj,gast_public,valgast_public,gast_alim,gast_aereo,valgast_aereo,excursion,excur_extranj,excur_int,excur_motiv,excur_deptodest,excur_mpiodest,excur_medtransp,excur_valgasttransp,excur_valgastpublic,excur_valgastalim,nombre_mpio_dest,coord_origen,lat_origen,lon_origen,coord_dest,lat_dest,lon_dest
151,3000148_1,1,0.0,Tunja,hombre,65.0,65_70,4,1500000.0,1_2,separado,superior_univerisitario,si,si,1,Boyacá,15542.0,6/01/2019 0:00,10/01/2019 0:00,4.0,visita,,publico,500000.0,,no,,si,50000.0,si,no,,no,,,,,,,,,,PESCA,"-73.361362,5.5323632",-73.361362,5.5323632,"-73.0514809,5.5582793",-73.0514809,5.5582793
152,3000149_1,3,0.3947017528263721,Tunja,familia,40.0,40_45,2,1000000.0,1_2,familia,superior_univerisitario,si,si,2,Boyacá,15897.0,5/01/2019 0:00,8/01/2019 0:00,3.0,vacaciones,,particular,500000.0,,si,200000.0,no,,si,no,,no,,,,,,,,,,ZETAQUIRA,"-73.361362,5.5323632",-73.361362,5.5323632,"-73.1669653272936,5.2821538",-73.1669653272936,5.2821538
163,3000160_1,2,0.2363636363636364,Manizales,familia,55.0,55_60,3,2000000.0,2_3,familia,media_bachiller,si,si,1,Caldas,17524.0,29/01/2019 0:00,30/01/2019 0:00,1.0,vacaciones,,particular,180000.0,,si,50000.0,no,,si,no,,no,,,,,,,,,,PALESTINA,"-75.5173198,5.0681104",-75.5173198,5.0681104,"-75.6748902281718,5.0652614",-75.6748902281718,5.0652614
164,3000161_1,5,0.6465000154479132,Manizales,familia,24.0,20_25,3,2000000.0,2_3,familia,media_bachiller,si,si,1,Caldas,17524.0,20/01/2019 0:00,23/01/2019 0:00,3.0,vacaciones,,publico,250000.0,,si,100000.0,no,,si,no,,no,,,,,,,,,,PALESTINA,"-75.5173198,5.0681104",-75.5173198,5.0681104,"-75.6748902281718,5.0652614",-75.6748902281718,5.0652614
165,3000162_1,2,0.013888888888888888,Manizales,familia,72.0,70_75,3,1800000.0,2_3,familia,primaria,si,si,1,Caldas,17614.0,1/01/2019 0:00,4/01/2019 0:00,3.0,visita,,publico,300000.0,,no,,no,,si,no,,no,,,,,,,,,,RIOSUCIO,"-75.5173198,5.0681104",-75.5173198,5.0681104,"-75.7710303485185,5.4495362",-75.7710303485185,5.4495362
167,3000164_1,4,0.8279140501050468,Manizales,familia,15.0,15_20,2,1500000.0,1_2,familia,superior_bachiller,si,si,1,Tolima,73283.0,8/01/2019 0:00,11/01/2019 0:00,3.0,visita,,particular,250000.0,,no,,no,,si,no,,no,,,,,,,,,,FRESNO,"-75.5173198,5.0681104",-75.5173198,5.0681104,"-75.0371423,5.1535058",-75.0371423,5.1535058
179,3000176_1,3,0.708801805866774,Florencia,familia,24.0,20_25,1,1000000.0,1_2,familia,superior_univerisitario,si,si,1,Huila,41001.0,4/01/2019 0:00,14/01/2019 0:00,10.0,visita,,publico,800000.0,,no,,si,100000.0,si,no,,no,,,,,,,,,,NEIVA,"11.2555757,43.7698712",11.2555757,43.7698712,"-75.2794417696023,3.0332673",-75.2794417696023,3.0332673
187,3000184_1,6,0.8101645597462461,Florencia,familia,22.0,20_25,1,1200000.0,1_2,familia,superior_bachiller,si,si,1,Caquetá,18460.0,3/01/2019 0:00,18/01/2019 0:00,15.0,visita,,publico,300000.0,,no,,no,,si,no,,no,,,,,,,,,,MILÁN,"11.2555757,43.7698712",11.2555757,43.7698712,"-75.5076247,1.2900867",-75.5076247,1.2900867
194,3000191_1,4,0.6412487816752559,Florencia,familia,29.0,25_30,1,2000000.0,2_3,familia,media_bachiller,si,si,1,Caquetá,18479.0,4/01/2019 0:00,7/01/2019 0:00,3.0,visita,,particular,700000.0,,no,,no,,si,no,,si,no,si,Vacaciones,18.0,18610.0,Terrestre particular,70000.0,,100000.0,MORELIA,"11.2555757,43.7698712",11.2555757,43.7698712,"-75.724859,1.4874697",-75.724859,1.4874697
202,3000199_1,3,0.7844645405527361,Popayán,familia,9.0,0_10,2,900000.0,1_2,familia,primaria,si,si,1,Cauca,19450.0,12/12/2018 0:00,16/01/2019 0:00,35.0,visita,,publico,200000.0,,no,,no,,si,no,,no,,,,,,,,,,MERCADERES,"-76.6062744,2.4420181",-76.6062744,2.4420181,"-77.1620888321379,1.80541635",-77.1620888321379,1.80541635
