,nombre_mpio_dest,lat_dest,lon_dest
496,MAGANGUÉ,-74.7992531184879,9.1427203
497,LA JAGUA DE IBIRICO,-73.3328147,9.5613975
498,PUEBLO NUEVO,-75.50803309999999,8.500941599999999
499,SANTA MARTA,-73.88035199979392,11.08665565
500,"BOGOTÁ, D.C.",,
501,SANTA MARTA,-73.88035199979392,11.08665565
502,BARRANQUILLA,-74.80130849999999,10.9799669
503,MANIZALES,-75.5173198,5.068110400000001
504,MEDELLÍN,-75.573553,6.2443382000000005
505,"BOGOTÁ, D.C.",,
506,"BOGOTÁ, D.C.",,
507,MEDELLÍN,-75.573553,6.2443382000000005
508,MEDELLÍN,-75.573553,6.2443382000000005
509,RIOHACHA,-72.90697840000001,11.544634
510,FLORENCIA,-75.6081197626811,1.7554212
511,IBAGUÉ,-75.2430012,4.4446595
512,MEDELLÍN,-75.573553,6.2443382000000005
513,VILLA DE LEYVA,-73.523548,5.6336805
514,VILLETA,-74.4849361701327,5.00754475
515,BUCARAMANGA,-73.11728690000001,7.111461099999999
516,MANIZALES,-75.5173198,5.068110400000001
517,ESPINAL,-74.8896022123354,4.1694097999999995
518,"BOGOTÁ, D.C.",,
519,RIOHACHA,-72.90697840000001,11.544634
520,VILLETA,-74.4849361701327,5.00754475
521,AGUADAS,-75.4575902,5.613112999999999
522,LA MESA,-73.87693829999999,4.2141468
523,BARRANQUILLA,-74.80130849999999,10.9799669
524,ARMENIA,-75.7396016646567,4.4923898
525,RIONEGRO,-75.4126728657633,6.1480754
526,PURIFICACIÓN,-74.899076205457,3.8767004000000003
527,FRESNO,-75.0371423,5.1535058
528,POPAYÁN,-76.6062744,2.4420181
529,SARAVENA,-71.77274849999999,7.0042735999999985
530,LA DORADA,-74.6787234886909,5.53219675
531,CUBARRAL,-73.8370737,3.7921096
532,ANSERMA,-75.7856623,5.2337519
533,CALI,-76.5324943,3.4517922999999997
534,MONTERÍA,-75.887029,8.7558921
535,MEDELLÍN,-75.573553,6.2443382000000005
536,COVEÑAS,-75.63978929331199,9.41146205
537,PÁCORA,-75.4857425,5.568679
538,RIONEGRO,-75.4126728657633,6.1480754
539,PUERTO TRIUNFO,-74.6407965,5.8689335
540,BUENAVENTURA,-76.9807757700535,3.6707494
541,ARMENIA,-75.7396016646567,4.4923898
542,SANTA MARTA,-73.88035199979392,11.08665565
543,SANTA MARTA,-73.88035199979392,11.08665565
544,CALI,-76.5324943,3.4517922999999997
545,DAGUA,-76.7228927151123,3.65186675
546,SINCELEJO,-75.4329805907975,9.31542935
547,DAGUA,-76.7228927151123,3.65186675
548,SANTA FÉ DE ANTIOQUIA,-75.8277746,6.5564008000000005
549,CARTAGENA DE INDIAS,-75.48929455630041,10.413179199999998
550,BELLO,-75.589713296052,6.36117455
551,SANTA MARÍA,-75.5867503,2.9374927000000004
552,ARMENIA,-75.7396016646567,4.4923898
553,"BOGOTÁ, D.C.",,
554,MEDELLÍN,-75.573553,6.2443382000000005
555,PUERTO RICO,-75.15309690000001,1.9093919999999998
