,ciudad_origen,lat_origen,lon_origen
192,Bogotá,-74.0760439,4.59808
193,Bogotá,-74.0760439,4.59808
194,Bogotá,-74.0760439,4.59808
195,Cartagena,-1.0006184,37.6267868
196,Cartagena,-1.0006184,37.6267868
197,Cartagena,-1.0006184,37.6267868
198,Tunja,-73.361362,5.532363200000001
199,Tunja,-73.361362,5.532363200000001
200,Tunja,-73.361362,5.532363200000001
201,Tunja,-73.361362,5.532363200000001
202,Tunja,-73.361362,5.532363200000001
203,Tunja,-73.361362,5.532363200000001
204,Tunja,-73.361362,5.532363200000001
205,Tunja,-73.361362,5.532363200000001
206,Tunja,-73.361362,5.532363200000001
207,Tunja,-73.361362,5.532363200000001
208,Tunja,-73.361362,5.532363200000001
209,Manizales,-75.5173198,5.068110400000001
210,Manizales,-75.5173198,5.068110400000001
211,Manizales,-75.5173198,5.068110400000001
212,Manizales,-75.5173198,5.068110400000001
213,Manizales,-75.5173198,5.068110400000001
214,Manizales,-75.5173198,5.068110400000001
215,Manizales,-75.5173198,5.068110400000001
216,Florencia,11.2555757,43.769871200000004
217,Florencia,11.2555757,43.769871200000004
218,Florencia,11.2555757,43.769871200000004
219,Florencia,11.2555757,43.769871200000004
220,Florencia,11.2555757,43.769871200000004
221,Popayán,-76.6062744,2.4420181
222,Popayán,-76.6062744,2.4420181
223,Popayán,-76.6062744,2.4420181
224,Popayán,-76.6062744,2.4420181
225,Popayán,-76.6062744,2.4420181
226,Popayán,-76.6062744,2.4420181
227,Popayán,-76.6062744,2.4420181
228,Popayán,-76.6062744,2.4420181
229,Valledupar,-73.3757933882845,10.34311145
230,Valledupar,-73.3757933882845,10.34311145
231,Valledupar,-73.3757933882845,10.34311145
232,Valledupar,-73.3757933882845,10.34311145
233,Valledupar,-73.3757933882845,10.34311145
234,Valledupar,-73.3757933882845,10.34311145
235,Valledupar,-73.3757933882845,10.34311145
236,Valledupar,-73.3757933882845,10.34311145
237,Valledupar,-73.3757933882845,10.34311145
238,Valledupar,-73.3757933882845,10.34311145
239,Valledupar,-73.3757933882845,10.34311145
240,Valledupar,-73.3757933882845,10.34311145
241,Monteria,-75.887029,8.7558921
242,Monteria,-75.887029,8.7558921
243,Monteria,-75.887029,8.7558921
244,Monteria,-75.887029,8.7558921
245,Monteria,-75.887029,8.7558921
246,Monteria,-75.887029,8.7558921
247,Monteria,-75.887029,8.7558921
248,Monteria,-75.887029,8.7558921
249,Monteria,-75.887029,8.7558921
250,Quibdó,-76.6540463,5.684570900000001
251,Quibdó,-76.6540463,5.684570900000001
252,Quibdó,-76.6540463,5.684570900000001
253,Quibdó,-76.6540463,5.684570900000001
254,Quibdó,-76.6540463,5.684570900000001
255,Neiva,-75.2794417696023,3.0332673
256,Neiva,-75.2794417696023,3.0332673
257,Neiva,-75.2794417696023,3.0332673
258,Neiva,-75.2794417696023,3.0332673
259,Neiva,-75.2794417696023,3.0332673
260,Neiva,-75.2794417696023,3.0332673
261,Neiva,-75.2794417696023,3.0332673
262,Neiva,-75.2794417696023,3.0332673
263,Neiva,-75.2794417696023,3.0332673
264,Riohacha,-72.90697840000001,11.544634
265,Riohacha,-72.90697840000001,11.544634
266,Riohacha,-72.90697840000001,11.544634
267,Riohacha,-72.90697840000001,11.544634
268,Riohacha,-72.90697840000001,11.544634
269,Riohacha,-72.90697840000001,11.544634
270,Riohacha,-72.90697840000001,11.544634
271,Riohacha,-72.90697840000001,11.544634
272,Riohacha,-72.90697840000001,11.544634
273,Riohacha,-72.90697840000001,11.544634
274,Riohacha,-72.90697840000001,11.544634
275,Riohacha,-72.90697840000001,11.544634
276,Riohacha,-72.90697840000001,11.544634
277,Santa Marta,-88.6118965,17.0920157
278,Santa Marta,-88.6118965,17.0920157
279,Villavicencio,-73.6206667,4.1315113
280,Villavicencio,-73.6206667,4.1315113
281,Villavicencio,-73.6206667,4.1315113
282,Villavicencio,-73.6206667,4.1315113
283,Villavicencio,-73.6206667,4.1315113
284,Villavicencio,-73.6206667,4.1315113
285,Villavicencio,-73.6206667,4.1315113
286,Villavicencio,-73.6206667,4.1315113
287,Villavicencio,-73.6206667,4.1315113
288,Villavicencio,-73.6206667,4.1315113
289,Pasto,-77.27825159999999,1.2146286
290,Pasto,-77.27825159999999,1.2146286
291,Pasto,-77.27825159999999,1.2146286
292,Pasto,-77.27825159999999,1.2146286
293,Pasto,-77.27825159999999,1.2146286
294,Pasto,-77.27825159999999,1.2146286
295,Cúcuta,-72.5080387,7.8971458
296,Cúcuta,-72.5080387,7.8971458
297,Armenia,44.6736646,40.7696272
298,Armenia,44.6736646,40.7696272
299,Armenia,44.6736646,40.7696272
300,Armenia,44.6736646,40.7696272
301,Armenia,44.6736646,40.7696272
302,Armenia,44.6736646,40.7696272
303,Armenia,44.6736646,40.7696272
304,Armenia,44.6736646,40.7696272
305,Armenia,44.6736646,40.7696272
306,Armenia,44.6736646,40.7696272
307,Armenia,44.6736646,40.7696272
308,Pereira,-75.69464509999999,4.8142912
309,Pereira,-75.69464509999999,4.8142912
310,Pereira,-75.69464509999999,4.8142912
311,Pereira,-75.69464509999999,4.8142912
312,Pereira,-75.69464509999999,4.8142912
313,Pereira,-75.69464509999999,4.8142912
314,Bucaramanga,-73.11728690000001,7.111461099999999
315,Bucaramanga,-73.11728690000001,7.111461099999999
316,Bucaramanga,-73.11728690000001,7.111461099999999
317,Bucaramanga,-73.11728690000001,7.111461099999999
318,Bucaramanga,-73.11728690000001,7.111461099999999
319,Sincelejo,-75.4329805907975,9.31542935
320,Sincelejo,-75.4329805907975,9.31542935
321,Sincelejo,-75.4329805907975,9.31542935
322,Sincelejo,-75.4329805907975,9.31542935
323,Sincelejo,-75.4329805907975,9.31542935
324,Sincelejo,-75.4329805907975,9.31542935
325,Sincelejo,-75.4329805907975,9.31542935
326,Ibagué,-75.2430012,4.4446595
327,Ibagué,-75.2430012,4.4446595
328,Ibagué,-75.2430012,4.4446595
329,Ibagué,-75.2430012,4.4446595
330,Ibagué,-75.2430012,4.4446595
331,Ibagué,-75.2430012,4.4446595
332,Ibagué,-75.2430012,4.4446595
333,Ibagué,-75.2430012,4.4446595
334,Ibagué,-75.2430012,4.4446595
335,Ibagué,-75.2430012,4.4446595
336,Ibagué,-75.2430012,4.4446595
337,Ibagué,-75.2430012,4.4446595
338,Ibagué,-75.2430012,4.4446595
339,Cali,-76.5324943,3.4517922999999997
340,Cali,-76.5324943,3.4517922999999997
341,Cali,-76.5324943,3.4517922999999997
342,Cali,-76.5324943,3.4517922999999997
343,Cali,-76.5324943,3.4517922999999997
344,Cali,-76.5324943,3.4517922999999997
345,Cali,-76.5324943,3.4517922999999997
346,Cali,-76.5324943,3.4517922999999997
347,Cali,-76.5324943,3.4517922999999997
348,Cali,-76.5324943,3.4517922999999997
349,San Andrés,-90.45208303237891,17.391202800000002
350,San Andrés,-90.45208303237891,17.391202800000002
351,Cúcuta,-72.5080387,7.8971458
352,Manizales,-75.5173198,5.068110400000001
353,Manizales,-75.5173198,5.068110400000001
354,Manizales,-75.5173198,5.068110400000001
355,Manizales,-75.5173198,5.068110400000001
356,Manizales,-75.5173198,5.068110400000001
357,Cúcuta,-72.5080387,7.8971458
358,Florencia,11.2555757,43.769871200000004
359,Armenia,44.6736646,40.7696272
360,Armenia,44.6736646,40.7696272
361,Pasto,-77.27825159999999,1.2146286
362,Pasto,-77.27825159999999,1.2146286
363,Manizales,-75.5173198,5.068110400000001
364,Armenia,44.6736646,40.7696272
365,Pasto,-77.27825159999999,1.2146286
366,Manizales,-75.5173198,5.068110400000001
367,Ibagué,-75.2430012,4.4446595
368,Ibagué,-75.2430012,4.4446595
369,Ibagué,-75.2430012,4.4446595
370,Manizales,-75.5173198,5.068110400000001
371,Tunja,-73.361362,5.532363200000001
372,Tunja,-73.361362,5.532363200000001
373,Ibagué,-75.2430012,4.4446595
374,Tunja,-73.361362,5.532363200000001
375,Tunja,-73.361362,5.532363200000001
376,Tunja,-73.361362,5.532363200000001
377,Florencia,11.2555757,43.769871200000004
378,Florencia,11.2555757,43.769871200000004
379,Tunja,-73.361362,5.532363200000001
380,Florencia,11.2555757,43.769871200000004
381,Bogotá,-74.0760439,4.59808
382,Bogotá,-74.0760439,4.59808
383,Bogotá,-74.0760439,4.59808
384,Tunja,-73.361362,5.532363200000001
385,Tunja,-73.361362,5.532363200000001
386,Popayán,-76.6062744,2.4420181
387,Bogotá,-74.0760439,4.59808
388,Medellín,-75.573553,6.2443382000000005
389,Cali,-76.5324943,3.4517922999999997
390,Medellín,-75.573553,6.2443382000000005
391,Florencia,11.2555757,43.769871200000004
392,Florencia,11.2555757,43.769871200000004
393,Bucaramanga,-73.11728690000001,7.111461099999999
394,Riohacha,-72.90697840000001,11.544634
395,Riohacha,-72.90697840000001,11.544634
396,Medellín,-75.573553,6.2443382000000005
397,Medellín,-75.573553,6.2443382000000005
398,Bucaramanga,-73.11728690000001,7.111461099999999
399,Bucaramanga,-73.11728690000001,7.111461099999999
400,Armenia,44.6736646,40.7696272
401,Medellín,-75.573553,6.2443382000000005
402,Bucaramanga,-73.11728690000001,7.111461099999999
403,Popayán,-76.6062744,2.4420181
404,Popayán,-76.6062744,2.4420181
405,Armenia,44.6736646,40.7696272
406,San Andrés,-90.45208303237891,17.391202800000002
407,Armenia,44.6736646,40.7696272
408,San Andrés,-90.45208303237891,17.391202800000002
409,San Andrés,-90.45208303237891,17.391202800000002
410,Pasto,-77.27825159999999,1.2146286
411,Armenia,44.6736646,40.7696272
412,Armenia,44.6736646,40.7696272
413,Villavicencio,-73.6206667,4.1315113
414,Sincelejo,-75.4329805907975,9.31542935
415,Popayán,-76.6062744,2.4420181
416,Popayán,-76.6062744,2.4420181
417,Pasto,-77.27825159999999,1.2146286
418,Pasto,-77.27825159999999,1.2146286
419,Villavicencio,-73.6206667,4.1315113
420,Pasto,-77.27825159999999,1.2146286
421,Villavicencio,-73.6206667,4.1315113
422,Pasto,-77.27825159999999,1.2146286
423,Villavicencio,-73.6206667,4.1315113
424,Villavicencio,-73.6206667,4.1315113
425,Pasto,-77.27825159999999,1.2146286
426,Pasto,-77.27825159999999,1.2146286
427,Manizales,-75.5173198,5.068110400000001
428,Manizales,-75.5173198,5.068110400000001
429,Villavicencio,-73.6206667,4.1315113
430,Pasto,-77.27825159999999,1.2146286
431,Florencia,11.2555757,43.769871200000004
432,San Andrés,-90.45208303237891,17.391202800000002
433,Florencia,11.2555757,43.769871200000004
434,Tunja,-73.361362,5.532363200000001
435,Tunja,-73.361362,5.532363200000001
436,Tunja,-73.361362,5.532363200000001
437,Tunja,-73.361362,5.532363200000001
438,San Andrés,-90.45208303237891,17.391202800000002
439,Tunja,-73.361362,5.532363200000001
440,San Andrés,-90.45208303237891,17.391202800000002
441,Tunja,-73.361362,5.532363200000001
442,Bogotá,-74.0760439,4.59808
443,Villavicencio,-73.6206667,4.1315113
444,Sincelejo,-75.4329805907975,9.31542935
445,Sincelejo,-75.4329805907975,9.31542935
446,Villavicencio,-73.6206667,4.1315113
447,Bogotá,-74.0760439,4.59808
448,Bogotá,-74.0760439,4.59808
449,Bogotá,-74.0760439,4.59808
450,Bogotá,-74.0760439,4.59808
451,Bogotá,-74.0760439,4.59808
452,Sincelejo,-75.4329805907975,9.31542935
453,Bogotá,-74.0760439,4.59808
454,Bogotá,-74.0760439,4.59808
455,Bogotá,-74.0760439,4.59808
456,Bogotá,-74.0760439,4.59808
457,Villavicencio,-73.6206667,4.1315113
458,Bogotá,-74.0760439,4.59808
459,Florencia,11.2555757,43.769871200000004
460,Pasto,-77.27825159999999,1.2146286
461,Pasto,-77.27825159999999,1.2146286
462,Sincelejo,-75.4329805907975,9.31542935
463,Cúcuta,-72.5080387,7.8971458
464,Cartagena,-1.0006184,37.6267868
465,Cúcuta,-72.5080387,7.8971458
466,Cúcuta,-72.5080387,7.8971458
467,Cartagena,-1.0006184,37.6267868
468,Cúcuta,-72.5080387,7.8971458
469,Cúcuta,-72.5080387,7.8971458
470,Cúcuta,-72.5080387,7.8971458
471,Cartagena,-1.0006184,37.6267868
472,Armenia,44.6736646,40.7696272
473,Armenia,44.6736646,40.7696272
474,Cartagena,-1.0006184,37.6267868
475,Armenia,44.6736646,40.7696272
476,Armenia,44.6736646,40.7696272
477,Popayán,-76.6062744,2.4420181
478,Valledupar,-73.3757933882845,10.34311145
479,Valledupar,-73.3757933882845,10.34311145
480,Pereira,-75.69464509999999,4.8142912
481,Tunja,-73.361362,5.532363200000001
482,Sincelejo,-75.4329805907975,9.31542935
483,Tunja,-73.361362,5.532363200000001
484,Pereira,-75.69464509999999,4.8142912
485,Pereira,-75.69464509999999,4.8142912
486,Valledupar,-73.3757933882845,10.34311145
487,Pereira,-75.69464509999999,4.8142912
488,Pereira,-75.69464509999999,4.8142912
489,Pereira,-75.69464509999999,4.8142912
490,Pereira,-75.69464509999999,4.8142912
491,Sincelejo,-75.4329805907975,9.31542935
492,Pereira,-75.69464509999999,4.8142912
493,Valledupar,-73.3757933882845,10.34311145
494,Barranquilla,-74.80130849999999,10.9799669
495,Riohacha,-72.90697840000001,11.544634
496,Sincelejo,-75.4329805907975,9.31542935
497,Valledupar,-73.3757933882845,10.34311145
498,Sincelejo,-75.4329805907975,9.31542935
499,Valledupar,-73.3757933882845,10.34311145
500,Ibagué,-75.2430012,4.4446595
501,Valledupar,-73.3757933882845,10.34311145
502,Riohacha,-72.90697840000001,11.544634
503,Ibagué,-75.2430012,4.4446595
504,Riohacha,-72.90697840000001,11.544634
505,Ibagué,-75.2430012,4.4446595
506,Ibagué,-75.2430012,4.4446595
507,Bogotá,-74.0760439,4.59808
508,Bogotá,-74.0760439,4.59808
509,Bogotá,-74.0760439,4.59808
510,Ibagué,-75.2430012,4.4446595
511,Bogotá,-74.0760439,4.59808
512,Manizales,-75.5173198,5.068110400000001
513,Bogotá,-74.0760439,4.59808
514,Manizales,-75.5173198,5.068110400000001
515,Santa Marta,-88.6118965,17.0920157
516,Manizales,-75.5173198,5.068110400000001
517,Bogotá,-74.0760439,4.59808
518,Santa Marta,-88.6118965,17.0920157
519,Manizales,-75.5173198,5.068110400000001
520,Bogotá,-74.0760439,4.59808
521,Manizales,-75.5173198,5.068110400000001
522,Bogotá,-74.0760439,4.59808
523,Santa Marta,-88.6118965,17.0920157
524,Medellín,-75.573553,6.2443382000000005
525,Manizales,-75.5173198,5.068110400000001
526,Ibagué,-75.2430012,4.4446595
527,Manizales,-75.5173198,5.068110400000001
528,Cali,-76.5324943,3.4517922999999997
529,Villavicencio,-73.6206667,4.1315113
530,Manizales,-75.5173198,5.068110400000001
531,Villavicencio,-73.6206667,4.1315113
532,Manizales,-75.5173198,5.068110400000001
533,Cali,-76.5324943,3.4517922999999997
534,Neiva,-75.2794417696023,3.0332673
535,Manizales,-75.5173198,5.068110400000001
536,Medellín,-75.573553,6.2443382000000005
537,Manizales,-75.5173198,5.068110400000001
538,Medellín,-75.573553,6.2443382000000005
539,Manizales,-75.5173198,5.068110400000001
540,Cali,-76.5324943,3.4517922999999997
541,Medellín,-75.573553,6.2443382000000005
542,Cali,-76.5324943,3.4517922999999997
543,Medellín,-75.573553,6.2443382000000005
544,Medellín,-75.573553,6.2443382000000005
545,Cali,-76.5324943,3.4517922999999997
546,Medellín,-75.573553,6.2443382000000005
547,Cali,-76.5324943,3.4517922999999997
548,Medellín,-75.573553,6.2443382000000005
549,Medellín,-75.573553,6.2443382000000005
550,San Andrés,-90.45208303237891,17.391202800000002
551,Neiva,-75.2794417696023,3.0332673
552,Medellín,-75.573553,6.2443382000000005
553,Neiva,-75.2794417696023,3.0332673
554,San Andrés,-90.45208303237891,17.391202800000002
555,Neiva,-75.2794417696023,3.0332673
556,Monteria,-75.887029,8.7558921
557,Neiva,-75.2794417696023,3.0332673
558,Barranquilla,-74.80130849999999,10.9799669
559,Neiva,-75.2794417696023,3.0332673
560,Neiva,-75.2794417696023,3.0332673
561,Neiva,-75.2794417696023,3.0332673
562,Neiva,-75.2794417696023,3.0332673
563,Quibdó,-76.6540463,5.684570900000001
564,Pereira,-75.69464509999999,4.8142912
565,Quibdó,-76.6540463,5.684570900000001
566,Pereira,-75.69464509999999,4.8142912
567,Riohacha,-72.90697840000001,11.544634
568,Riohacha,-72.90697840000001,11.544634
569,Bucaramanga,-73.11728690000001,7.111461099999999
570,Pereira,-75.69464509999999,4.8142912
571,Pereira,-75.69464509999999,4.8142912
572,Pereira,-75.69464509999999,4.8142912
573,Pereira,-75.69464509999999,4.8142912
574,Valledupar,-73.3757933882845,10.34311145
575,Bucaramanga,-73.11728690000001,7.111461099999999
576,Pereira,-75.69464509999999,4.8142912
577,Quibdó,-76.6540463,5.684570900000001
578,Quibdó,-76.6540463,5.684570900000001
579,Valledupar,-73.3757933882845,10.34311145
580,Quibdó,-76.6540463,5.684570900000001
581,Bucaramanga,-73.11728690000001,7.111461099999999
582,Valledupar,-73.3757933882845,10.34311145
583,Bucaramanga,-73.11728690000001,7.111461099999999
584,Bucaramanga,-73.11728690000001,7.111461099999999
585,Bucaramanga,-73.11728690000001,7.111461099999999
586,Valledupar,-73.3757933882845,10.34311145
587,Bucaramanga,-73.11728690000001,7.111461099999999
588,Valledupar,-73.3757933882845,10.34311145
589,Valledupar,-73.3757933882845,10.34311145
590,Bucaramanga,-73.11728690000001,7.111461099999999
591,Sincelejo,-75.4329805907975,9.31542935
592,Valledupar,-73.3757933882845,10.34311145
593,Bucaramanga,-73.11728690000001,7.111461099999999
594,Valledupar,-73.3757933882845,10.34311145
595,Monteria,-75.887029,8.7558921
596,Sincelejo,-75.4329805907975,9.31542935
597,Bucaramanga,-73.11728690000001,7.111461099999999
598,Quibdó,-76.6540463,5.684570900000001
599,Bucaramanga,-73.11728690000001,7.111461099999999
600,Bucaramanga,-73.11728690000001,7.111461099999999
601,Sincelejo,-75.4329805907975,9.31542935
602,Monteria,-75.887029,8.7558921
603,Monteria,-75.887029,8.7558921
604,Bucaramanga,-73.11728690000001,7.111461099999999
605,Sincelejo,-75.4329805907975,9.31542935
606,Florencia,11.2555757,43.769871200000004
607,Bucaramanga,-73.11728690000001,7.111461099999999
608,Bucaramanga,-73.11728690000001,7.111461099999999
609,Bucaramanga,-73.11728690000001,7.111461099999999
610,Bucaramanga,-73.11728690000001,7.111461099999999
611,Bucaramanga,-73.11728690000001,7.111461099999999
612,Tunja,-73.361362,5.532363200000001
613,Pasto,-77.27825159999999,1.2146286
614,Pasto,-77.27825159999999,1.2146286
615,Tunja,-73.361362,5.532363200000001
616,Cartagena,-1.0006184,37.6267868
617,Cúcuta,-72.5080387,7.8971458
618,Cúcuta,-72.5080387,7.8971458
619,Tunja,-73.361362,5.532363200000001
620,Ibagué,-75.2430012,4.4446595
621,Cartagena,-1.0006184,37.6267868
622,Manizales,-75.5173198,5.068110400000001
623,Cartagena,-1.0006184,37.6267868
624,Ibagué,-75.2430012,4.4446595
625,Cartagena,-1.0006184,37.6267868
626,Popayán,-76.6062744,2.4420181
627,Popayán,-76.6062744,2.4420181
628,Manizales,-75.5173198,5.068110400000001
629,Santa Marta,-88.6118965,17.0920157
630,Manizales,-75.5173198,5.068110400000001
631,Manizales,-75.5173198,5.068110400000001
632,Pasto,-77.27825159999999,1.2146286
633,Bogotá,-74.0760439,4.59808
634,Bogotá,-74.0760439,4.59808
635,Bogotá,-74.0760439,4.59808
